question,category
How do you add comments in SAS?,SAS
What is a SAS dataset?,SAS
What are the two parts of a SAS dataset?,SAS
What is the default length of a numeric variable in SAS?,SAS
What is the default length of a character variable in SAS?,SAS
What statement defines a variable in DATA step?,SAS
How do you create a new dataset in SAS?,SAS
How do you print a dataset in SAS?,SAS
How do you sort a dataset in SAS?,SAS
How do you summarize data in SAS?,SAS
What does PROC FREQ do?,SAS
What does PROC FORMAT do?,SAS
What does PROC CONTENTS do?,SAS
What does PROC DATASETS do?,SAS
How do you merge datasets in SAS?,SAS
How do you concatenate datasets in SAS?,SAS
What is a LIBNAME in SAS?,SAS
What is WORK library in SAS?,SAS
What is permanent library in SAS?,SAS
How do you import Excel files in SAS?,SAS
How do you export data to Excel in SAS?,SAS
How do you read raw data in SAS?,SAS
What does DATALINES statement do?,SAS
What is SAS log?,SAS
What is SAS output window?,SAS
What is SAS editor?,SAS
What is the difference between numeric and character variable?,SAS
What is a missing value in SAS?,SAS
What function checks missing values?,SAS
What does LENGTH statement do?,SAS
What does FORMAT statement do?,SAS
What does INFORMAT statement do?,SAS
What is KEEP statement?,SAS
What is DROP statement?,SAS
What is RENAME statement?,SAS
What is LABEL statement?,SAS
What is IF-THEN statement?,SAS
What is DO loop in SAS?,SAS
What is ARRAY in SAS?,SAS
What is PROC SQL in SAS?,SAS
What is PUT function?,SAS
What is INPUT function?,SAS
What is today() function?,SAS
What is time() function?,SAS
What is the difference between SET and MERGE?,SAS
What is BY statement used for?,SAS
What is FIRST.variable and LAST.variable in SAS?,SAS
What is RETAIN statement?,SAS
What is difference between WHERE and IF statement?,SAS
What is difference between PROC MEANS and PROC SUMMARY?,SAS
What does CLASS statement do in PROC MEANS?,SAS
What is difference between PROC TRANSPOSE and PROC TRANSPOSE with BY?,SAS
What is difference between PROC APPEND and SET statement?,SAS
What is INDEX in SAS?,SAS
How do you create index in SAS?,SAS
What is difference between simple and composite index?,SAS
What is SAS function CATX?,SAS
What is SCAN function?,SAS
What is SUBSTR function?,SAS
What is TRIM function?,SAS
What is STRIP function?,SAS
What is COMPRESS function?,SAS
What is TRANWRD function?,SAS
What is TRANSLATE function?,SAS
What is SYMPUT used for?,SAS
What is SYMGET used for?,SAS
What is CALL SYMPUTX?,SAS
What is %LET statement?,SAS
What are automatic macro variables?,SAS
What is difference between %MACRO and %MEND?,SAS
What is PROC REPORT used for?,SAS
What is PROC TABULATE used for?,SAS
What is PROC FORMAT CNTLIN option?,SAS
What is difference between PROC COMPARE and PROC CONTENTS?,SAS
What is PROC UNIVARIATE used for?,SAS
What is PROC REG used for?,SAS
What is PROC LOGISTIC used for?,SAS
What is PROC GLM used for?,SAS
What is PROC ANOVA used for?,SAS
What is PROC CLUSTER used for?,SAS
What is PROC FACTOR used for?,SAS
What is PROC CORR used for?,SAS
What is PROC RANK used for?,SAS
What is difference between PROC SORT and ORDER BY in PROC SQL?,SAS
What is difference between outer join and inner join in PROC SQL?,SAS
What is HAVING clause in PROC SQL?,SAS
What is difference between NODUP and NODUPKEY in PROC SORT?,SAS
What is difference between INPUT and INFORMAT?,SAS
What is difference between PUT and FORMAT?,SAS
What is difference between %EVAL and %SYSEVALF?,SAS
What is difference between %DO and DO loops?,SAS
What is difference between global and local macro variables?,SAS
What is difference between CALL MISSING and assignment of missing?,SAS
What is difference between DATA step merge and PROC SQL join?,SAS
What is difference between DATA step and PROC SQL for joins?,SAS
What is hash object in SAS?,SAS
How do you define hash object in SAS?,SAS
What is difference between hash and array in SAS?,SAS
What is a SAS macro facility?,SAS
What are macro functions?,SAS
What is %SCAN function in SAS Macros?,SAS
What is %SUBSTR function in SAS Macros?,SAS
What is %INDEX function in SAS Macros?,SAS
What is difference between CALL EXECUTE and %INCLUDE?,SAS
What is difference between SAS compiled macro and autocall macro?,SAS
What is PROC SQL dictionary tables?,SAS
What is SAS metadata server?,SAS
What is SAS Enterprise Guide?,SAS
What is SAS Studio?,SAS
What is SAS Viya?,SAS
What is difference between SAS and R?,SAS
What is difference between SAS and Python?,SAS
What is PROC GENMOD used for?,SAS
What is PROC MIXED used for?,SAS
What is PROC PHREG used for?,SAS
What is PROC SURVEYSELECT used for?,SAS
What is PROC SURVEYMEANS used for?,SAS
What is PROC SURVEYREG used for?,SAS
What is PROC SURVEYLOGISTIC used for?,SAS
What is PROC ARIMA used for?,SAS
What is PROC TIMESERIES used for?,SAS
What is PROC EXPAND used for?,SAS
What is PROC VARMAX used for?,SAS
What is PROC PANEL used for?,SAS
What is PROC IML used for?,SAS
What is PROC OPTMODEL used for?,SAS
What is PROC HPSPLIT used for?,SAS
What is PROC HPSVM used for?,SAS
What is PROC HPFOREST used for?,SAS
What is PROC HPNEURAL used for?,SAS
What is PROC HPCLUS used for?,SAS
What is PROC HPTMINE used for?,SAS
What is PROC HPLOGISTIC used for?,SAS
What is PROC HPQUANTSELECT used for?,SAS
What is PROC HPSAMPLE used for?,SAS
What is PROC HPFREQ used for?,SAS
What is PROC HPSUMMARY used for?,SAS
What is PROC HPCDM used for?,SAS
What is PROC HPBIN used for?,SAS
What is PROC HPSTAT used for?,SAS
What is PROC HPTTEST used for?,SAS
What is PROC CASUTIL used for?,SAS
What is PROC CASDATA used for?,SAS
What is PROC CAS for?,SAS
What is Assembly language?,Assembly
What is a mnemonic in Assembly?,Assembly
What does MOV instruction do?,Assembly
What does ADD instruction do?,Assembly
What does SUB instruction do?,Assembly
What does INC instruction do?,Assembly
What does DEC instruction do?,Assembly
What does MUL instruction do?,Assembly
What does DIV instruction do?,Assembly
What does JMP instruction do?,Assembly
What does CMP instruction do?,Assembly
What does JZ instruction do?,Assembly
What does JNZ instruction do?,Assembly
What does JE instruction do?,Assembly
What does JNE instruction do?,Assembly
What does JC instruction do?,Assembly
What does JNC instruction do?,Assembly
What does LOOP instruction do?,Assembly
What is an opcode?,Assembly
What is an operand?,Assembly
What are registers?,Assembly
What is AX register?,Assembly
What is BX register?,Assembly
What is CX register?,Assembly
What is DX register?,Assembly
What are segment registers?,Assembly
What is CS register?,Assembly
What is DS register?,Assembly
What is SS register?,Assembly
What is IP register?,Assembly
What is SP register?,Assembly
What is BP register?,Assembly
What is SI register?,Assembly
What is DI register?,Assembly
What is the purpose of the stack?,Assembly
What instruction pushes data onto the stack?,Assembly
What instruction removes data from the stack?,Assembly
What does CALL instruction do?,Assembly
What does RET instruction do?,Assembly
What does NOP instruction do?,Assembly
What is an assembler?,Assembly
What is a disassembler?,Assembly
What is a debugger?,Assembly
What is little-endian format?,Assembly
What is big-endian format?,Assembly
What is an interrupt?,Assembly
What is INT instruction?,Assembly
What does IRET instruction do?,Assembly
What is BIOS interrupt 10h used for?,Assembly
What is BIOS interrupt 21h used for?,Assembly
What is addressing mode in Assembly?,Assembly
What is immediate addressing?,Assembly
What is register addressing?,Assembly
What is direct addressing?,Assembly
What is indirect addressing?,Assembly
What is base plus index addressing?,Assembly
What is relative addressing?,Assembly
What is the difference between CALL and JMP?,Assembly
What is the difference between near and far jumps?,Assembly
What is the difference between near and far calls?,Assembly
What is the purpose of the FLAGS register?,Assembly
What is the Zero Flag (ZF)?,Assembly
What is the Carry Flag (CF)?,Assembly
What is the Sign Flag (SF)?,Assembly
What is the Overflow Flag (OF)?,Assembly
What is the Direction Flag (DF)?,Assembly
What is the Interrupt Flag (IF)?,Assembly
What is a macro in Assembly?,Assembly
What is the difference between a macro and a procedure?,Assembly
What are string instructions in Assembly?,Assembly
What does REP prefix do?,Assembly
What is the difference between REPZ and REPNZ?,Assembly
What is memory-mapped I/O?,Assembly
What is port-mapped I/O?,Assembly
What is DMA in Assembly context?,Assembly
What is pipelining in processors?,Assembly
What is instruction latency?,Assembly
What is instruction throughput?,Assembly
What is conditional jump optimization?,Assembly
What is loop unrolling?,Assembly
What is an inline Assembly in high-level languages?,Assembly
What is an interrupt vector table?,Assembly
What is an ISR (Interrupt Service Routine)?,Assembly
What is re-entrant code in Assembly?,Assembly
What is position-independent code?,Assembly
What is stack frame in Assembly?,Assembly
What are system calls in Assembly?,Assembly
What is paging in Assembly context?,Assembly
What is segmentation in Assembly?,Assembly
What is the difference between segmentation and paging?,Assembly
What is the purpose of LEA instruction?,Assembly
What is the difference between LEA and MOV?,Assembly
What is BCD in Assembly?,Assembly
What is AAA instruction?,Assembly
What is AAS instruction?,Assembly
What is DAA instruction?,Assembly
What is DAS instruction?,Assembly
What is a TASM?,Assembly
What is NASM?,Assembly
What is MASM?,Assembly
What is self-modifying code in Assembly?,Assembly
What is position-independent code used for?,Assembly
What is the difference between static and dynamic linking?,Assembly
What is segmentation fault in Assembly?,Assembly
What is privilege level in Assembly context?,Assembly
What is Ring 0 in x86 architecture?,Assembly
What is Ring 3 in x86 architecture?,Assembly
What is system management mode (SMM)?,Assembly
What is real mode in x86?,Assembly
What is protected mode in x86?,Assembly
What is long mode in x86-64?,Assembly
What is virtual 8086 mode?,Assembly
What is the Global Descriptor Table (GDT)?,Assembly
What is the Local Descriptor Table (LDT)?,Assembly
What is the Interrupt Descriptor Table (IDT)?,Assembly
What is paging in x86 protected mode?,Assembly
What is PAE (Physical Address Extension)?,Assembly
What is segmentation vs flat memory model?,Assembly
What is SIMD in Assembly?,Assembly
What are SSE instructions?,Assembly
What are AVX instructions?,Assembly
What is MMX technology?,Assembly
What is FPU in Assembly?,Assembly
What is FPU stack architecture?,Assembly
What is x87 instruction set?,Assembly
What is RISC vs CISC architecture?,Assembly
What is pipelining hazard?,Assembly
What are data hazards?,Assembly
What are control hazards?,Assembly
What are structural hazards?,Assembly
What is branch prediction?,Assembly
What is speculative execution?,Assembly
What was the Spectre vulnerability?,Assembly
What was the Meltdown vulnerability?,Assembly
What is microcode in CPUs?,Assembly
What is pipeline flushing?,Assembly
What is cache coherence?,Assembly
What is MESI protocol?,Assembly
What is write-through cache policy?,Assembly
What is write-back cache policy?,Assembly
What is instruction reordering?,Assembly
What is atomic operation in Assembly?,Assembly
What is LOCK prefix in x86?,Assembly
What is CMPXCHG instruction?,Assembly
What is memory barrier?,Assembly
What is privilege escalation in Assembly?,Assembly
What is syscall in x86-64?,Assembly
What is sysenter instruction?,Assembly
What is sysexit instruction?,Assembly
What is CUDA?,CUDA
What does GPU stand for?,CUDA
Which company developed CUDA?,CUDA
What is the main purpose of CUDA?,CUDA
What language is CUDA based on?,CUDA
What keyword is used to define a GPU kernel in CUDA?,CUDA
What is a CUDA kernel?,CUDA
What is a thread in CUDA?,CUDA
What is a warp in CUDA?,CUDA
What is a block in CUDA?,CUDA
What is a grid in CUDA?,CUDA
What is shared memory in CUDA?,CUDA
What is global memory in CUDA?,CUDA
What is constant memory in CUDA?,CUDA
What is texture memory in CUDA?,CUDA
What is occupancy in CUDA?,CUDA
What does the __device__ keyword specify?,CUDA
What does the __host__ keyword specify?,CUDA
What does the __global__ keyword specify?,CUDA
What is the maximum number of threads in a warp?,CUDA
What is CUDA Toolkit?,CUDA
What does PTX stand for?,CUDA
What is cuBLAS?,CUDA
What is cuFFT?,CUDA
What is Unified Memory in CUDA?,CUDA
What is cudaMalloc()?,CUDA
What is cudaMemcpy()?,CUDA
What is cudaFree()?,CUDA
What is the default block dimension limit in CUDA?,CUDA
What is cudaDeviceSynchronize()?,CUDA
What is divergence in CUDA?,CUDA
What is a streaming multiprocessor (SM)?,CUDA
What is __syncthreads()?,CUDA
What does GPU stand for in computing context?,CUDA
What is cudaError_t?,CUDA
What is the maximum size of shared memory per block in modern GPUs?,CUDA
What is a CUDA stream?,CUDA
What is kernel launch syntax in CUDA?,CUDA
What is cudaMemcpyHostToDevice?,CUDA
What is cudaMemcpyDeviceToHost?,CUDA
What is cudaMemcpyDeviceToDevice?,CUDA
What does cudaDeviceReset() do?,CUDA
What is pinned memory in CUDA?,CUDA
What is the CUDA driver API?,CUDA
What is the CUDA runtime API?,CUDA
What is a device in CUDA terminology?,CUDA
What is a host in CUDA terminology?,CUDA
What is the difference between __shared__ and __global__ memory?,CUDA
What is cudaDeviceProp?,CUDA
What is cudaEvent?,CUDA
How do you choose grid and block dimensions in CUDA?,CUDA
What is coalesced memory access in CUDA?,CUDA
Why is coalesced access important?,CUDA
What happens if threads in a warp diverge?,CUDA
What is bank conflict in CUDA shared memory?,CUDA
How do you avoid bank conflicts?,CUDA
What is register spilling in CUDA?,CUDA
What is occupancy limited by?,CUDA
What is cudaMemcpyAsync()?,CUDA
What are CUDA streams used for?,CUDA
What is the maximum number of threads in a block?,CUDA
What is the maximum grid size?,CUDA
What is a CUDA context?,CUDA
What is multi-GPU programming in CUDA?,CUDA
What is peer-to-peer (P2P) memory access in CUDA?,CUDA
What is cudaGetDeviceProperties()?,CUDA
What is warp shuffle in CUDA?,CUDA
What is atomic operation in CUDA?,CUDA
What is cudaStreamSynchronize()?,CUDA
What is cudaSetDevice()?,CUDA
What is cudaEventRecord()?,CUDA
What is cudaEventElapsedTime()?,CUDA
What is cudaMallocPitch()?,CUDA
What is cudaMemcpy2D()?,CUDA
What is CUDA Thrust library?,CUDA
What is cudaGraph?,CUDA
What is GPUDirect?,CUDA
What is NVLink?,CUDA
What is CUDA Unified Virtual Addressing (UVA)?,CUDA
What is __restrict__ keyword in CUDA?,CUDA
What is half precision in CUDA?,CUDA
What is cudaErrorMemoryAllocation?,CUDA
What is cudaErrorLaunchFailure?,CUDA
What is cudaStreamCreate()?,CUDA
What is cudaStreamDestroy()?,CUDA
What is cudaDeviceCanAccessPeer()?,CUDA
What is cudaMemcpyPeer()?,CUDA
What is dynamic parallelism in CUDA?,CUDA
What is cudaFuncSetAttribute()?,CUDA
What is warp-level primitive?,CUDA
What is Cooperative Groups in CUDA?,CUDA
What is cudaProfilerStart()?,CUDA
What is cudaProfilerStop()?,CUDA
What is cudaDeviceGetAttribute()?,CUDA
"What is a kernel launch parameter <<<1,1>>>?",CUDA
What is __launch_bounds__ in CUDA?,CUDA
What is cudaError_t return type used for?,CUDA
What is cudaFreeHost()?,CUDA
What is cudaPeekAtLastError()?,CUDA
What is CUDA stream priority?,CUDA
What is Hyper-Q in CUDA?,CUDA
What is GPU occupancy calculator used for?,CUDA
What is cudaArray in CUDA?,CUDA
What is persistent threads model in CUDA?,CUDA
What is CUDA MPS (Multi-Process Service)?,CUDA
What is memory coalescing on Pascal vs Volta architectures?,CUDA
What is independent thread scheduling?,CUDA
What is cudaLaunchCooperativeKernel()?,CUDA
What is Tensor Core in CUDA?,CUDA
What is WMMA API in CUDA?,CUDA
What is cudaOccupancyMaxPotentialBlockSize()?,CUDA
What is the difference between cudaMallocManaged() and cudaHostAlloc()?,CUDA
What is cudaHostRegister()?,CUDA
What is zero-copy memory in CUDA?,CUDA
What is cudaGraphLaunch()?,CUDA
What is JIT linking in CUDA?,CUDA
What is cub library in CUDA?,CUDA
What is cooperative groups grid synchronization?,CUDA
What is CUDA IPC (Inter-Process Communication)?,CUDA
What is PTX JIT compilation?,CUDA
What is fat binary in CUDA?,CUDA
What is cudaOccupancyAvailableDynamicSMemPerBlock()?,CUDA
What is device-wide memory fence?,CUDA
What is cudaExternalMemory API?,CUDA
What is cudaMemcpyAsync with pinned memory advantage?,CUDA
What is page-locked memory?,CUDA
What is cudaImportExternalSemaphore()?,CUDA
What is cudaStreamAttachMemAsync()?,CUDA
What is a persistent kernel?,CUDA
What is cudaFuncGetAttributes()?,CUDA
What is cudaThreadFence()?,CUDA
What is cudaThreadFenceSystem()?,CUDA
What is PTX vs SASS?,CUDA
What is cub::BlockReduce in CUDA?,CUDA
What is cudaLaunchKernel()?,CUDA
What is CUDA Managed Memory migration policy?,CUDA
What is cudaDevAttrConcurrentManagedAccess?,CUDA
What is a warp vote function?,CUDA
What is cudaDeviceGetP2PAttribute()?,CUDA
What is cudaStreamWaitEvent()?,CUDA
What is cudaFuncCachePreferL1?,CUDA
What is cudaFuncCachePreferShared?,CUDA
What is cudaGraphExecUpdate()?,CUDA
What is cudaStreamBatchMemOp()?,CUDA
What is cudaMemAdvise()?,CUDA
What is cudaMemPrefetchAsync()?,CUDA
What is cudaDevAttrMaxRegistersPerMultiprocessor?,CUDA
What is CUDA SM architecture version?,CUDA
What is cudaLaunchHostFunc()?,CUDA
What is Verilog?,Verilog
Who developed Verilog?,Verilog
What is the file extension for Verilog source code?,Verilog
What is the difference between Verilog and VHDL?,Verilog
What are the two main modeling styles in Verilog?,Verilog
What is a module in Verilog?,Verilog
How do you define a module in Verilog?,Verilog
What is a port in Verilog?,Verilog
What are the basic data types in Verilog?,Verilog
What is a wire in Verilog?,Verilog
What is a reg in Verilog?,Verilog
What is the difference between wire and reg?,Verilog
What is initial block in Verilog?,Verilog
What is always block in Verilog?,Verilog
What are blocking assignments?,Verilog
What are non-blocking assignments?,Verilog
What is the use of timescale directive in Verilog?,Verilog
What are parameters in Verilog?,Verilog
What is continuous assignment in Verilog?,Verilog
What is a testbench in Verilog?,Verilog
What is difference between simulation and synthesis?,Verilog
What is the purpose of $display?,Verilog
What is the purpose of $monitor?,Verilog
What is the purpose of $finish?,Verilog
What is concatenation in Verilog?,Verilog
What is replication in Verilog?,Verilog
What are logic levels in Verilog?,Verilog
What is tri-state logic in Verilog?,Verilog
What is bit-select in Verilog?,Verilog
What is part-select in Verilog?,Verilog
What is difference between blocking and non-blocking assignment timing?,Verilog
What is the keyword used for defining constants?,Verilog
What is the difference between assign and always?,Verilog
What is Verilog HDL used for?,Verilog
What is the range of integer in Verilog?,Verilog
What is the default value of reg?,Verilog
What is the default value of wire?,Verilog
What is implicit net declaration?,Verilog
What is the purpose of generate statement?,Verilog
What is difference between blocking and non-blocking in sequential logic?,Verilog
What are system tasks in Verilog?,Verilog
What is the use of $time?,Verilog
What is the difference between == and === in Verilog?,Verilog
What is the use of $random?,Verilog
What is the difference between RTL and gate-level modeling?,Verilog
What is structural modeling in Verilog?,Verilog
What are design constraints?,Verilog
What is meant by sensitivity list in always block?,Verilog
What is difference between posedge and negedge?,Verilog
What is difference between blocking assignment in always and assign statement?,Verilog
What are four levels of abstraction in Verilog?,Verilog
What is the difference between full_case and parallel_case directives?,Verilog
What is race condition in Verilog?,Verilog
What is latch inference in Verilog?,Verilog
What is the difference between blocking and non-blocking in simulation race?,Verilog
What is sensitivity list omission in always @*?,Verilog
What is difference between posedge clk and @clk?,Verilog
What is event in Verilog?,Verilog
What is fork-join in Verilog?,Verilog
"What is difference between case, casex, and casez?",Verilog
What is synthesis tool role in Verilog?,Verilog
What is difference between blocking assignment in combinational always?,Verilog
What is the difference between reg and logic in SystemVerilog?,Verilog
What is the difference between synchronous and asynchronous reset?,Verilog
What is metastability in Verilog simulations?,Verilog
What is Verilog UDP?,Verilog
What is difference between function and task?,Verilog
What is difference between automatic and static task?,Verilog
What is difference between $finish and $stop?,Verilog
What is difference between blocking assignment with delay and non-blocking?,Verilog
What is difference between non-synthesizable and synthesizable code?,Verilog
What is inertial delay?,Verilog
What is transport delay?,Verilog
What is difference between initial and always block synthesis?,Verilog
What is zero-time race?,Verilog
What is difference between memory and register arrays?,Verilog
What is packed vs unpacked array?,Verilog
What is blocking assignment used for in combinational logic?,Verilog
What is difference between assign and force in Verilog?,Verilog
What is release in Verilog?,Verilog
What is difference between $display and $strobe?,Verilog
What is difference between repeat and forever loops?,Verilog
What is disable statement in Verilog?,Verilog
What is difference between named and unnamed block?,Verilog
What is strength in Verilog nets?,Verilog
What is wired-or in Verilog?,Verilog
What is wired-and in Verilog?,Verilog
What is tri net type?,Verilog
What is difference between initial delay and always delay?,Verilog
What is difference between real and integer data types?,Verilog
What is synthesizable for loop vs non-synthesizable?,Verilog
What is $clog2 in SystemVerilog?,Verilog
What is difference between RTL simulation and gate-level simulation?,Verilog
What is timing violation in Verilog simulation?,Verilog
What is specify block in Verilog?,Verilog
What is $setup and $hold in specify?,Verilog
What is difference between edge-sensitive and level-sensitive latch?,Verilog
What is asynchronous FIFO in Verilog?,Verilog
What is synchronizer in Verilog?,Verilog
What is difference between Moore and Mealy FSM in Verilog?,Verilog
What is race condition between always blocks?,Verilog
What is delta cycle in Verilog simulation?,Verilog
What is difference between delta delay and real delay?,Verilog
What is glitch in Verilog simulation?,Verilog
What is difference between optimistic and pessimistic simulation?,Verilog
What is difference between blocking/non-blocking in pipelined logic?,Verilog
What is non-determinism in Verilog simulation?,Verilog
What is race free coding style?,Verilog
What is difference between $timeformat and $realtime?,Verilog
What is pulse rejection in Verilog specify block?,Verilog
What is difference between inertial delay and transport delay synthesis?,Verilog
What is difference between $fopen and $fwrite?,Verilog
What is difference between $dumpvars and $vcdpluson?,Verilog
What is force-release mechanism used for?,Verilog
What is difference between gate-level vs RTL race?,Verilog
What is cycle-accurate simulation?,Verilog
What is event scheduling region in Verilog?,Verilog
What is difference between preponed and postponed regions?,Verilog
What is zero-delay feedback loop?,Verilog
What is synthesis pragma in Verilog?,Verilog
What is retiming in synthesis?,Verilog
What is difference between pipeline and parallelism?,Verilog
What is difference between setup violation and hold violation?,Verilog
What is difference between combinational loop and sequential loop?,Verilog
What is difference between two-phase and single-phase latch design?,Verilog
What is formal verification in Verilog?,Verilog
What is equivalence checking in Verilog?,Verilog
What is property checking in Verilog?,Verilog
What is difference between code coverage and functional coverage?,Verilog
What is constrained random verification?,Verilog
What is difference between SystemVerilog assertions and Verilog?,Verilog
What is power-aware simulation in Verilog?,Verilog
What is X-propagation issue?,Verilog
What is difference between simulation semantics of casex vs synthesis?,Verilog
What is latch inference issue in synthesis?,Verilog
What is gated clock design issue?,Verilog
What is clock domain crossing verification?,Verilog
What is asynchronous assertion synchronous deassertion reset?,Verilog
What is skew in timing analysis?,Verilog
What is jitter in timing analysis?,Verilog
What is multi-cycle path constraint?,Verilog
What is false path constraint?,Verilog
What is static timing analysis?,Verilog
What is difference between timing-driven and area-driven synthesis?,Verilog
What is floorplanning in ASIC flow?,Verilog
What is place and route in ASIC?,Verilog
What is scan chain in DFT?,Verilog
What is stuck-at fault model?,Verilog
What is ATPG?,Verilog
What is BIST in VLSI?,Verilog
What does VHDL stand for?,VHDL
Is VHDL case sensitive?,VHDL
What are the main design units in VHDL?,VHDL
What keyword is used to define an entity?,VHDL
What keyword is used to define an architecture?,VHDL
What is a signal in VHDL?,VHDL
What is a variable in VHDL?,VHDL
What is the default data type in VHDL if not specified?,VHDL
What does the `std_logic` type represent?,VHDL
What package provides `std_logic` type?,VHDL
Difference between `bit` and `std_logic`?,VHDL
What is a port map in VHDL?,VHDL
What does the `<=` operator mean?,VHDL
What does the `:=` operator mean?,VHDL
Can VHDL describe both combinational and sequential logic?,VHDL
What is a testbench in VHDL?,VHDL
What does the `process` keyword define?,VHDL
What is a sensitivity list?,VHDL
What is a clock signal?,VHDL
What is an entity without ports called?,VHDL
What does the `when` keyword do?,VHDL
What is `with-select` statement?,VHDL
What does `others` keyword mean?,VHDL
What is a generic in VHDL?,VHDL
Can signals be initialized?,VHDL
What does `wait` statement do?,VHDL
What is delta delay in VHDL?,VHDL
What is `after` keyword used for?,VHDL
What is the difference between `buffer` and `out` ports?,VHDL
What is `inout` port?,VHDL
What is a configuration?,VHDL
What are attributes in VHDL?,VHDL
What is the default range of `integer`?,VHDL
What is `rising_edge(clk)`?,VHDL
What is a component declaration?,VHDL
What is component instantiation?,VHDL
What is the difference between concurrent and sequential statements?,VHDL
Can a process have no sensitivity list?,VHDL
What is `assert` statement?,VHDL
What does `report` statement do?,VHDL
What is the default value of `std_logic`?,VHDL
What are VHDL libraries?,VHDL
Name a commonly used library.,VHDL
What is `numeric_std` package used for?,VHDL
What is simulation in VHDL?,VHDL
What is synthesis in VHDL?,VHDL
Can you use loops in VHDL?,VHDL
What is a guarded signal assignment?,VHDL
What is the default initialization of a variable?,VHDL
Difference between variable and signal assignment timing?,VHDL
Can you have multiple architectures for one entity?,VHDL
What is overloading in VHDL?,VHDL
What is resolution function?,VHDL
What is a subtype?,VHDL
What is unconstrained array in VHDL?,VHDL
What is a record in VHDL?,VHDL
What is an access type in VHDL?,VHDL
What is the difference between function and procedure?,VHDL
What is synthesis restriction on `wait`?,VHDL
Difference between `signal <= expr after time;` and variable delay?,VHDL
What is a generate statement?,VHDL
Difference between sequential and concurrent signal assignment?,VHDL
What are guarded blocks?,VHDL
What is `range` keyword used for?,VHDL
What is attribute `’event`?,VHDL
What is attribute `’last_value`?,VHDL
What is attribute `’length`?,VHDL
What is attribute `’left`?,VHDL
What is attribute `’right`?,VHDL
What is attribute `’high`?,VHDL
What is attribute `’low`?,VHDL
What is alias in VHDL?,VHDL
What is aggregate in VHDL?,VHDL
What is concurrency in VHDL?,VHDL
What is delta cycle deadlock?,VHDL
Difference between `loop` and `for loop`?,VHDL
What is sensitivity to all signals?,VHDL
What is VHDL-2008?,VHDL
What is type casting?,VHDL
What is qualified expression?,VHDL
What is null statement?,VHDL
What is sequential `case` statement?,VHDL
What is conditional signal assignment?,VHDL
What is selected signal assignment?,VHDL
What is resolution limit in std_logic?,VHDL
What are protected types?,VHDL
What is shared variable?,VHDL
What is PSL in VHDL?,VHDL
What are configurations mainly used for?,VHDL
What is default binding?,VHDL
What is signal driver?,VHDL
What is effective value of signal?,VHDL
What is alias useful for?,VHDL
What is synthesizable subset of VHDL?,VHDL
What is generic map?,VHDL
What is port map association by name?,VHDL
What is port map association by order?,VHDL
What are the main differences between VHDL and Verilog?,VHDL
Explain difference between inertial and transport delay in synthesis.,VHDL
What are delta cycles in simulation scheduling?,VHDL
Explain how multiple drivers are resolved on std_logic signal.,VHDL
What is difference between std_logic and std_ulogic?,VHDL
How does synthesis tool handle high-impedance ‘Z’?,VHDL
What is metastability?,VHDL
How to avoid metastability?,VHDL
What are advantages of using records?,VHDL
What is difference between array of std_logic and std_logic_vector?,VHDL
What is difference between rising_edge and clk’event and clk=’1’?,VHDL
What is latch inference in VHDL?,VHDL
How to avoid latches in synthesis?,VHDL
What is clock skew?,VHDL
How to reduce clock skew?,VHDL
What is pipeline in VHDL design?,VHDL
What is FSM in VHDL?,VHDL
What are FSM encoding styles?,VHDL
What is difference between Moore and Mealy FSM?,VHDL
What is resource sharing in synthesis?,VHDL
What is structural modeling in VHDL?,VHDL
What is behavioral modeling in VHDL?,VHDL
What is RTL in VHDL?,VHDL
What is high-level synthesis (HLS)?,VHDL
What is clock gating?,VHDL
What are advantages of generics in reusable designs?,VHDL
What is difference between blocking and non-blocking assignments in VHDL?,VHDL
How to model tri-state buffer in VHDL?,VHDL
What is safe FSM coding style?,VHDL
What is difference between synthesis and place-and-route?,VHDL
What is false path in timing analysis?,VHDL
What is multicycle path?,VHDL
What is setup time?,VHDL
What is hold time?,VHDL
What is static timing analysis (STA)?,VHDL
What is difference between static and dynamic hazards?,VHDL
What is glitch in VHDL circuit?,VHDL
How to remove glitches?,VHDL
What is difference between asynchronous and synchronous reset?,VHDL
What is reset synchronization?,VHDL
What is metastability resolution time?,VHDL
What is area vs speed tradeoff in synthesis?,VHDL
What is resource utilization?,VHDL
What are timing constraints?,VHDL
What is clock domain crossing (CDC)?,VHDL
How to ensure CDC safety?,VHDL
What is difference between simulation and emulation?,VHDL
What is IP core in VHDL?,VHDL
What is incremental synthesis?,VHDL
What is Ada?,Ada
Who developed Ada?,Ada
When was the first version of Ada standardized?,Ada
Which later versions of Ada exist?,Ada
What is the file extension for Ada source files?,Ada
What does .adb file represent?,Ada
What does .ads file represent?,Ada
Is Ada case sensitive?,Ada
What keyword starts an Ada program?,Ada
What keyword ends an Ada program?,Ada
What is `with` in Ada?,Ada
What is `use` in Ada?,Ada
What is a package in Ada?,Ada
What is a procedure in Ada?,Ada
What is a function in Ada?,Ada
What is the default numeric type in Ada?,Ada
What are the basic scalar types in Ada?,Ada
What is a record in Ada?,Ada
What is an array in Ada?,Ada
How are strings represented in Ada?,Ada
What is the default starting index of an Ada array?,Ada
What is a task in Ada?,Ada
